source,target,agreement_count,disagreement_count,total_votes,signed_weight,agreement_fraction
14009.0,14226.0,323,57,380,266,0.85
14009.0,14307.0,96,279,375,-183,0.256
14009.0,14435.0,77,297,374,-220,0.20588235294117646
14009.0,14440.0,105,256,361,-151,0.29085872576177285
14009.0,14503.0,349,27,376,322,0.9281914893617021
14009.0,14651.0,126,230,356,-104,0.3539325842696629
14009.0,14806.0,326,47,373,279,0.8739946380697051
14009.0,14852.0,341,36,377,305,0.9045092838196287
14009.0,14858.0,96,283,379,-187,0.2532981530343008
14009.0,14871.0,97,278,375,-181,0.25866666666666666
14009.0,14921.0,323,57,380,266,0.85
14009.0,15011.0,78,259,337,-181,0.2314540059347181
14009.0,15015.0,130,240,370,-110,0.35135135135135137
14009.0,15021.0,98,274,372,-176,0.26344086021505375
14009.0,15039.0,325,47,372,278,0.8736559139784946
14009.0,15054.0,88,240,328,-152,0.2682926829268293
14009.0,15408.0,105,275,380,-170,0.27631578947368424
14009.0,15424.0,321,54,375,267,0.856
14009.0,20100.0,305,65,370,240,0.8243243243243243
14009.0,20101.0,320,58,378,262,0.8465608465608465
14009.0,20115.0,281,84,365,197,0.7698630136986301
14009.0,20146.0,339,40,379,299,0.8944591029023746
14009.0,20707.0,104,274,378,-170,0.2751322751322751
14009.0,20713.0,97,282,379,-185,0.2559366754617414
14009.0,20717.0,196,180,376,16,0.5212765957446809
14009.0,20730.0,276,95,371,181,0.7439353099730458
14009.0,20735.0,85,294,379,-209,0.22427440633245382
14009.0,20919.0,330,47,377,283,0.8753315649867374
14009.0,20923.0,109,266,375,-157,0.2906666666666667
14009.0,20930.0,103,276,379,-173,0.2717678100263852
14009.0,21112.0,314,61,375,253,0.8373333333333334
14009.0,21166.0,298,82,380,216,0.7842105263157895
14009.0,21173.0,298,74,372,224,0.8010752688172043
14009.0,21301.0,299,74,373,225,0.8016085790884718
14009.0,21338.0,294,86,380,208,0.7736842105263158
14009.0,29142.0,98,282,380,-184,0.2578947368421053
14009.0,29147.0,48,244,292,-196,0.1643835616438356
14009.0,29345.0,297,79,376,218,0.7898936170212766
14009.0,29373.0,97,279,376,-182,0.2579787234042553
14009.0,29386.0,313,64,377,249,0.830238726790451
14009.0,29389.0,88,282,370,-194,0.23783783783783785
14009.0,29534.0,352,26,378,326,0.9312169312169312
14009.0,29548.0,333,46,379,287,0.8786279683377308
14009.0,29566.0,253,38,291,215,0.8694158075601375
14009.0,29722.0,291,80,371,211,0.784366576819407
14009.0,29732.0,115,261,376,-146,0.3058510638297872
14009.0,29735.0,330,40,370,290,0.8918918918918919
14009.0,29754.0,330,49,379,281,0.8707124010554089
14009.0,29909.0,342,37,379,305,0.9023746701846965
14009.0,29918.0,287,54,341,233,0.841642228739003
14009.0,29924.0,98,280,378,-182,0.25925925925925924
14009.0,29935.0,296,67,363,229,0.8154269972451791
14009.0,29940.0,102,278,380,-176,0.26842105263157895
14009.0,39310.0,114,266,380,-152,0.3
14009.0,40300.0,309,66,375,243,0.824
14009.0,40304.0,337,36,373,301,0.903485254691689
14009.0,40305.0,340,35,375,305,0.9066666666666666
14009.0,40700.0,122,254,376,-132,0.324468085106383
14009.0,40701.0,151,217,368,-66,0.41032608695652173
14009.0,40702.0,134,246,380,-112,0.3526315789473684
14009.0,40703.0,118,258,376,-140,0.31382978723404253
14009.0,40704.0,108,271,379,-163,0.2849604221635884
14009.0,40705.0,316,55,371,261,0.8517520215633423
14009.0,40707.0,334,46,380,288,0.8789473684210526
14009.0,40902.0,301,78,379,223,0.7941952506596306
14009.0,40904.0,95,275,370,-180,0.25675675675675674
14009.0,40906.0,128,252,380,-124,0.3368421052631579
14009.0,40908.0,81,295,376,-214,0.2154255319148936
14009.0,40909.0,127,221,348,-94,0.3649425287356322
14009.0,40910.0,141,239,380,-98,0.37105263157894736
14009.0,40915.0,209,166,375,43,0.5573333333333333
14009.0,40916.0,109,255,364,-146,0.29945054945054944
14009.0,41101.0,106,272,378,-166,0.2804232804232804
14009.0,41102.0,216,53,269,163,0.8029739776951673
14009.0,41104.0,234,130,364,104,0.6428571428571429
14009.0,41106.0,298,81,379,217,0.7862796833773087
14009.0,41107.0,327,51,378,276,0.8650793650793651
14009.0,41110.0,228,124,352,104,0.6477272727272727
14009.0,41111.0,330,45,375,285,0.88
14009.0,41112.0,105,273,378,-168,0.2777777777777778
14009.0,41300.0,144,229,373,-85,0.38605898123324395
14009.0,41301.0,72,308,380,-236,0.18947368421052632
14009.0,41302.0,323,57,380,266,0.85
14009.0,41303.0,196,184,380,12,0.5157894736842106
14009.0,41304.0,196,86,282,110,0.6950354609929078
14009.0,41305.0,132,241,373,-109,0.353887399463807
14009.0,41308.0,83,294,377,-211,0.22015915119363394
14009.0,41500.0,303,69,372,234,0.8145161290322581
14009.0,41501.0,312,63,375,249,0.832
14009.0,41502.0,327,53,380,274,0.8605263157894737
14009.0,41503.0,283,95,378,188,0.7486772486772487
14009.0,41504.0,338,41,379,297,0.8918205804749341
14009.0,41505.0,352,27,379,325,0.9287598944591029
14009.0,49300.0,136,231,367,-95,0.37057220708446864
14009.0,49308.0,112,262,374,-150,0.2994652406417112
14009.0,49700.0,299,75,374,224,0.7994652406417112
14009.0,49703.0,282,98,380,184,0.7421052631578947
14009.0,49706.0,306,57,363,249,0.8429752066115702
14009.0,94659.0,282,87,369,195,0.7642276422764228
14009.0,99911.0,27,37,64,-10,0.421875
14226.0,14307.0,68,309,377,-241,0.18037135278514588
14226.0,14435.0,61,315,376,-254,0.1622340425531915
14226.0,14440.0,80,283,363,-203,0.22038567493112948
14226.0,14503.0,329,49,378,280,0.8703703703703703
14226.0,14651.0,98,260,358,-162,0.2737430167597765
14226.0,14806.0,326,49,375,277,0.8693333333333333
14226.0,14852.0,335,43,378,292,0.8862433862433863
14226.0,14858.0,73,308,381,-235,0.19160104986876642
14226.0,14871.0,73,304,377,-231,0.19363395225464192
14226.0,14921.0,309,73,382,236,0.8089005235602095
14226.0,15011.0,65,273,338,-208,0.19230769230769232
14226.0,15015.0,100,272,372,-172,0.26881720430107525
14226.0,15021.0,71,303,374,-232,0.18983957219251338
14226.0,15039.0,316,57,373,259,0.8471849865951743
14226.0,15054.0,66,264,330,-198,0.2
14226.0,15408.0,80,302,382,-222,0.2094240837696335
14226.0,15424.0,332,43,375,289,0.8853333333333333
14226.0,20100.0,303,69,372,234,0.8145161290322581
14226.0,20101.0,340,40,380,300,0.8947368421052632
14226.0,20115.0,267,100,367,167,0.7275204359673024
14226.0,20146.0,331,50,381,281,0.868766404199475
14226.0,20707.0,80,300,380,-220,0.21052631578947367
14226.0,20713.0,72,309,381,-237,0.1889763779527559
14226.0,20717.0,171,207,378,-36,0.4523809523809524
14226.0,20730.0,291,82,373,209,0.7801608579088471
14226.0,20735.0,62,319,381,-257,0.16272965879265092
14226.0,20919.0,334,45,379,289,0.8812664907651715
14226.0,20923.0,89,288,377,-199,0.23607427055702918
14226.0,20930.0,84,297,381,-213,0.2204724409448819
14226.0,21112.0,321,56,377,265,0.8514588859416445
14226.0,21166.0,320,62,382,258,0.837696335078534
