source,target,agreement_count,disagreement_count,total_votes,signed_weight,agreement_fraction
1366,4812,243,29,272,214,0.8933823529411765
1366,10808,7,0,7,7,1.0
1366,14009,87,185,272,-98,0.31985294117647056
1366,14101,2,0,2,2,1.0
1366,14203,250,23,273,227,0.9157509157509157
1366,14213,242,31,273,211,0.8864468864468864
1366,14226,49,225,274,-176,0.17883211678832117
1366,14230,233,34,267,199,0.8726591760299626
1366,14307,238,32,270,206,0.8814814814814815
1366,14400,246,28,274,218,0.8978102189781022
1366,14440,241,27,268,214,0.8992537313432836
1366,14503,63,208,271,-145,0.23247232472324722
1366,14506,85,188,273,-103,0.31135531135531136
1366,14651,232,36,268,196,0.8656716417910447
1366,14661,149,125,274,24,0.5437956204379562
1366,14709,244,29,273,215,0.8937728937728938
1366,14812,239,30,269,209,0.8884758364312267
1366,14826,71,170,241,-99,0.2946058091286307
1366,14852,51,212,263,-161,0.19391634980988592
1366,14858,243,31,274,212,0.8868613138686131
1366,14871,241,31,272,210,0.8860294117647058
1366,14910,76,66,142,10,0.5352112676056338
1366,14912,242,32,274,210,0.8832116788321168
1366,14914,236,31,267,205,0.8838951310861424
1366,14920,236,34,270,202,0.8740740740740741
1366,14921,47,226,273,-179,0.17216117216117216
1366,14922,226,24,250,202,0.904
1366,15011,235,36,271,199,0.8671586715867159
1366,15015,240,34,274,206,0.8759124087591241
1366,15021,240,33,273,207,0.8791208791208791
1366,15039,45,222,267,-177,0.16853932584269662
1366,15054,238,36,274,202,0.8686131386861314
1366,15406,41,215,256,-174,0.16015625
1366,15408,245,29,274,216,0.8941605839416058
1366,15424,40,227,267,-187,0.149812734082397
1366,15425,239,28,267,211,0.8951310861423221
1366,15429,49,223,272,-174,0.1801470588235294
1366,15501,84,177,261,-93,0.3218390804597701
1366,15502,231,30,261,201,0.8850574712643678
1366,15703,245,29,274,216,0.8941605839416058
1366,15704,228,41,269,187,0.8475836431226765
1366,20735,225,32,257,193,0.8754863813229572
1366,29142,243,31,274,212,0.8868613138686131
1366,29147,239,34,273,205,0.8754578754578755
1366,29305,220,46,266,174,0.8270676691729323
1366,29345,52,222,274,-170,0.1897810218978102
1366,29373,241,32,273,209,0.8827838827838828
1366,29389,240,28,268,212,0.8955223880597015
1366,29512,51,209,260,-158,0.19615384615384615
1366,29523,53,220,273,-167,0.19413919413919414
1366,29534,62,212,274,-150,0.22627737226277372
1366,29537,48,224,272,-176,0.17647058823529413
1366,29548,48,222,270,-174,0.17777777777777778
1366,29555,40,228,268,-188,0.14925373134328357
1366,29566,55,215,270,-160,0.2037037037037037
1366,29732,249,24,273,225,0.9120879120879121
