congress,chamber,rollnumber,icpsr,cast_code,prob
85,Senate,1,52,1,77.10687091010158
85,Senate,1,142,1,95.16719392065517
85,Senate,1,165,6,89.31225366527748
85,Senate,1,464,1,88.26852778434515
85,Senate,1,546,1,90.96793490299537
85,Senate,1,645,1,97.39827505438477
85,Senate,1,688,6,95.13736875396766
85,Senate,1,1024,1,97.95853505482705
85,Senate,1,1027,1,97.15393203416455
85,Senate,1,1329,1,98.5059976056866
85,Senate,1,1341,1,93.84692014230278
85,Senate,1,1365,6,58.97099070202915
85,Senate,1,1489,1,94.08825611199782
85,Senate,1,1510,1,86.77683758918609
85,Senate,1,1540,6,97.23226293553469
85,Senate,1,1569,1,79.93455914991128
85,Senate,1,1570,1,77.06525501105278
85,Senate,1,1678,6,93.36224468658443
85,Senate,1,1721,6,97.6337733436166
85,Senate,1,1776,6,95.18862051749352
85,Senate,1,2052,1,76.8803135010044
85,Senate,1,2087,1,96.16320084677213
85,Senate,1,2267,1,94.84411607411205
85,Senate,1,2326,6,86.93437170364888
85,Senate,1,2609,1,96.0820193944308
85,Senate,1,2691,6,84.60539733635453
85,Senate,1,2803,1,89.89365287035343
85,Senate,1,2822,6,91.95429213662607
85,Senate,1,2901,6,96.43511452207456
85,Senate,1,2987,6,94.91886529546214
85,Senate,1,3206,1,94.99332504600697
85,Senate,1,3349,6,76.05739396131052
85,Senate,1,3388,6,99.56491605160302
85,Senate,1,3658,1,99.03539392013688
85,Senate,1,3704,6,98.23707406136818
85,Senate,1,3783,6,91.99486013291553
85,Senate,1,4227,6,93.06984368441591
85,Senate,1,4328,6,92.4035609962562
85,Senate,1,4382,1,95.50707529146662
85,Senate,1,4418,6,98.73312143602408
85,Senate,1,4520,6,83.43267286162803
85,Senate,1,4660,1,94.27394032361181
85,Senate,1,4728,6,93.1582772355196
85,Senate,1,4834,1,92.18180588114745
85,Senate,1,4851,6,91.54331484150245
85,Senate,1,4922,1,96.76520907013173
85,Senate,1,4979,6,96.4280137623613
85,Senate,1,5009,6,98.00392159587783
85,Senate,1,5122,6,98.55991041722183
85,Senate,1,5180,6,83.76726889373901
85,Senate,1,5213,6,97.28649570384711
85,Senate,1,5343,1,91.8064814046191
85,Senate,1,5372,1,87.02626333934191
85,Senate,1,5452,1,24.37399309937547
85,Senate,1,5500,6,13.559562243350998
85,Senate,1,5767,6,97.65505641533959
85,Senate,1,5913,6,94.83574935995881
85,Senate,1,5944,1,67.4552355740779
85,Senate,1,5967,6,98.8701776020383
85,Senate,1,6021,1,98.34156131952145
85,Senate,1,6039,1,89.77704545469092
85,Senate,1,6137,1,82.87665843164103
85,Senate,1,6151,6,91.71026893276067
85,Senate,1,6366,6,97.51137356258033
85,Senate,1,6597,6,95.20249994926212
85,Senate,1,6738,6,99.85364922878044
85,Senate,1,6745,1,88.89052506970943
85,Senate,1,6796,1,82.81365191284978
85,Senate,1,6820,6,98.49275100362192
85,Senate,1,6856,6,96.92044765461002
85,Senate,1,6882,6,92.79721660633278
85,Senate,1,7070,6,92.09131128375641
85,Senate,1,7229,6,82.4614977478938
85,Senate,1,7271,1,83.6338386098935
85,Senate,1,7551,1,92.64590494523718
85,Senate,1,7656,1,95.83111274503327
85,Senate,1,7826,1,79.89136865748934
85,Senate,1,7958,6,81.76258109442776
85,Senate,1,8138,6,92.94407814703392
85,Senate,1,8185,1,90.5936416864552
85,Senate,1,8270,1,89.55929679892027
85,Senate,1,8313,6,97.72963594049881
85,Senate,1,8593,6,95.38436794447414
85,Senate,1,8635,1,95.44036270200341
85,Senate,1,8666,1,79.0781190185129
85,Senate,1,8764,6,97.63767599633182
85,Senate,1,8883,6,95.44380986533083
85,Senate,1,9141,6,95.63020642907027
85,Senate,1,9174,6,96.48939065113971
85,Senate,1,9374,1,80.1523960590692
85,Senate,1,9865,1,91.50882363002586
85,Senate,1,10110,1,86.548084636945
85,Senate,1,10163,1,99.27165999120031
85,Senate,1,10450,1,60.08608418613368
85,Senate,1,99369,6,65.4021211254508
85,Senate,1,99901,9,98.15638301906652
85,Senate,2,52,6,78.88770342212534
85,Senate,2,142,6,44.854177800510755
85,Senate,2,165,6,56.54620987898271
85,Senate,2,464,1,88.68580785419115
85,Senate,2,546,6,73.81988936179016
85,Senate,2,645,1,81.1633206746051
85,Senate,2,688,1,73.33935548114472
85,Senate,2,1024,1,90.88658879428505
85,Senate,2,1027,1,61.35756599625306
