icpsr,bioname,party,state_abbrev
404,"BANKHEAD, John Hollis, II",Democrat,AL
4418,"HILL, Joseph Lister",Democrat,AL
4227,"HAYDEN, Carl Trumbull",Democrat,AZ
6242,"McFARLAND, Ernest William",Democrat,AZ
1497,"CARAWAY, Hattie Wyatt",Democrat,AR
6151,"McCLELLAN, John Little",Democrat,AR
2702,"DOWNEY, Sheridan",Democrat,CA
4962,"JOHNSON, Hiram Warren",Republican,CA
4949,"JOHNSON, Edwin Carl",Democrat,CO
6525,"MILLIKIN, Eugene Donald",Republican,CO
2317,"DANAHER, John Anthony",Republican,CT
5945,"MALONEY, Francis Thomas",Democrat,CT
1194,"BUCK, Clayton Douglass",Republican,DE
9506,"TUNNELL, James Miller",Democrat,DE
193,"ANDREWS, Charles Oscar",Democrat,FL
7333,"PEPPER, Claude Denson",Democrat,FL
3536,"GEORGE, Walter Franklin",Democrat,GA
8138,"RUSSELL, Richard Brevard, Jr.",Democrat,GA
1760,"CLARK, David Worth",Democrat,ID
9298,"THOMAS, John",Republican,ID
1071,"BROOKS, Charles Wayland",Republican,IL
5823,"LUCAS, Scott Wike",Democrat,IL
4863,"JACKSON, Samuel Dillon",Democrat,IN
4922,"JENNER, William Ezra",Republican,IN
9626,"VAN NUYS, Frederick",Democrat,IN
10205,"WILLIS, Raymond Eugene",Republican,IN
3603,"GILLETTE, Guy Mark",Democrat,IA
10221,"WILSON, George Allison",Republican,IA
1494,"CAPPER, Arthur",Republican,KS
7780,"REED, Clyde Martin",Republican,KS
437,"BARKLEY, Alben William",Democrat,KY
1634,"CHANDLER, Albert Benjamin (Happy)",Democrat,KY
2901,"ELLENDER, Allen Joseph",Democrat,LA
7126,"OVERTON, John Holmes",Democrat,LA
1021,"BREWSTER, Ralph Owen",Republican,ME
10047,"WHITE, Wallace Humphrey, Jr.",Republican,ME
7685,"RADCLIFFE, George Lovic Pierce",Democrat,MD
9538,"TYDINGS, Millard Evelyn",Democrat,MD
5739,"LODGE, Henry Cabot, Jr.",Republican,MA
9782,"WALSH, David Ignatius",Democrat,MA
9913,"WEEKS, Sinclair",Republican,MA
3110,"FERGUSON, Homer Samuel",Republican,MI
9604,"VANDENBERG, Arthur Hendrick",Republican,MI
394,"BALL, Joseph Hurst",Republican,MN
8476,"SHIPSTEAD, Henrik",Republican,MN
710,"BILBO, Theodore Gilmore",Democrat,MS
2822,"EASTLAND, James Oliver",Democrat,MS
1772,"CLARK, Joel Bennett",Democrat,MO
9487,"TRUMAN, Harry S.",Democrat,MO
6820,"MURRAY, James Edward",Democrat,MT
9984,"WHEELER, Burton Kendall",Democrat,MT
1338,"BUTLER, Hugh Alfred",Republican,NE
9998,"WHERRY, Kenneth Spicer",Republican,NE
6132,"McCARRAN, Patrick Anthony (Pat)",Democrat,NV
8320,"SCRUGHAM, James Graves",Democrat,NV
1027,"BRIDGES, Henry Styles (Styles)",Republican,NH
9401,"TOBEY, Charles William",Republican,NH
425,"BARBOUR, William Warren",Republican,NJ
4210,"HAWKES, Albert Wahl",Republican,NJ
8635,"SMITH, Howard Alexander",Republican,NJ
9781,"WALSH, Arthur",Democrat,NJ
1678,"CHAVEZ, Dennis",Democrat,NM
4184,"HATCH, Carl Atwood",Democrat,NM
6394,"MEAD, James Michael",Democrat,NY
9713,"WAGNER, Robert Ferdinand",Democrat,NY
349,"BAILEY, Josiah William",Democrat,NC
7836,"REYNOLDS, Robert Rice",Democrat,NC
5452,"LANGER, William",Republican,ND
6991,"NYE, Gerald Prentice",Republican,ND
1317,"BURTON, Harold Hitz",Republican,OH
9152,"TAFT, Robert Alphonso",Republican,OH
6629,"MOORE, Edward Hall",Republican,OK
9303,"THOMAS, John William Elmer",Democrat,OK
2066,"CORDON, Guy",Republican,OR
4528,"HOLMAN, Rufus Cecil",Republican,OR
6367,"McNARY, Charles Linza",Republican,OR
2391,"DAVIS, James John",Republican,PA
3872,"GUFFEY, Joseph F.",Democrat,PA
3544,"GERRY, Peter Goelet",Democrat,RI
3783,"GREEN, Theodore Francis",Democrat,RI
3962,"HALL, Wilton Earle",Democrat,SC
6107,"MAYBANK, Burnet Rhett",Democrat,SC
8613,"SMITH, Ellison DuRant",Democrat,SC
1330,"BUSHFIELD, Harlan John",Republican,SD
3882,"GURNEY, John Chandler (Chan)",Republican,SD
6293,"MCKELLAR, Kenneth Douglas",Democrat,TN
8929,"STEWART, Arthur Thomas",Democrat,TN
1986,"CONNALLY, Thomas Terry (Tom)",Democrat,TX
7021,"O'DANIEL, Wilbert Lee (Pappy)",Democrat,TX
6800,"MURDOCK, Orrice Abram, Jr. (Abe)",Democrat,UT
9291,"THOMAS, Elbert Duncan",Democrat,UT
52,"AIKEN, George David",Republican,VT
296,"AUSTIN, Warren Robinson",Republican,VT
1365,"BYRD, Harry Flood",Democrat,VA
3625,"GLASS, Carter",Democrat,VA
843,"BONE, Homer Truett",Democrat,WA
5913,"MAGNUSON, Warren Grant",Democrat,WA
9774,"WALLGREN, Monrad Charles",Democrat,WA
5240,"KILGORE, Harley Martin",Democrat,WV
7826,"REVERCOMB, William Chapman",Republican,WV
5402,"LA FOLLETTE, Robert Marion, Jr.",Other,WI
10110,"WILEY, Alexander",Republican,WI
7070,"O'MAHONEY, Joseph Christopher",Democrat,WY
7960,"ROBERTSON, Edward Vivian",Republican,WY
