icpsr,bioname,party,state_abbrev
404,"BANKHEAD, John Hollis, II",Democrat,AL
4418,"HILL, Joseph Lister",Democrat,AL
8764,"SPARKMAN, John Jackson",Democrat,AL
9125,"SWIFT, George Robinson",Democrat,AL
4227,"HAYDEN, Carl Trumbull",Democrat,AZ
6242,"McFARLAND, Ernest William",Democrat,AZ
3388,"FULBRIGHT, James William",Democrat,AR
6151,"McCLELLAN, John Little",Democrat,AR
2702,"DOWNEY, Sheridan",Democrat,CA
4962,"JOHNSON, Hiram Warren",Republican,CA
5343,"KNOWLAND, William Fife",Republican,CA
4949,"JOHNSON, Edwin Carl",Democrat,CO
6525,"MILLIKIN, Eugene Donald",Republican,CO
4150,"HART, Thomas Charles",Republican,CT
5945,"MALONEY, Francis Thomas",Democrat,CT
6346,"McMAHON, Brien",Democrat,CT
1194,"BUCK, Clayton Douglass",Republican,DE
9506,"TUNNELL, James Miller",Democrat,DE
193,"ANDREWS, Charles Oscar",Democrat,FL
7333,"PEPPER, Claude Denson",Democrat,FL
3536,"GEORGE, Walter Franklin",Democrat,GA
8138,"RUSSELL, Richard Brevard, Jr.",Democrat,GA
3718,"GOSSETT, Charles Clinton",Democrat,ID
9210,"TAYLOR, Glen Hearst",Democrat,ID
9298,"THOMAS, John",Republican,ID
1071,"BROOKS, Charles Wayland",Republican,IL
5823,"LUCAS, Scott Wike",Democrat,IL
1489,"CAPEHART, Homer Earl",Republican,IN
10205,"WILLIS, Raymond Eugene",Republican,IN
4382,"HICKENLOOPER, Bourke Blakemore",Republican,IA
10221,"WILSON, George Allison",Republican,IA
1494,"CAPPER, Arthur",Republican,KS
7780,"REED, Clyde Martin",Republican,KS
437,"BARKLEY, Alben William",Democrat,KY
1634,"CHANDLER, Albert Benjamin (Happy)",Democrat,KY
8835,"STANFILL, William Abner",Republican,KY
2901,"ELLENDER, Allen Joseph",Democrat,LA
7126,"OVERTON, John Holmes",Democrat,LA
1021,"BREWSTER, Ralph Owen",Republican,ME
10047,"WHITE, Wallace Humphrey, Jr.",Republican,ME
7685,"RADCLIFFE, George Lovic Pierce",Democrat,MD
9538,"TYDINGS, Millard Evelyn",Democrat,MD
8185,"SALTONSTALL, Leverett",Republican,MA
9782,"WALSH, David Ignatius",Democrat,MA
3110,"FERGUSON, Homer Samuel",Republican,MI
9604,"VANDENBERG, Arthur Hendrick",Republican,MI
394,"BALL, Joseph Hurst",Republican,MN
8476,"SHIPSTEAD, Henrik",Republican,MN
710,"BILBO, Theodore Gilmore",Democrat,MS
2822,"EASTLAND, James Oliver",Democrat,MS
1031,"BRIGGS, Frank Parks",Democrat,MO
2656,"DONNELL, Forrest C.",Republican,MO
9487,"TRUMAN, Harry S.",Democrat,MO
6820,"MURRAY, James Edward",Democrat,MT
9984,"WHEELER, Burton Kendall",Democrat,MT
1338,"BUTLER, Hugh Alfred",Republican,NE
9998,"WHERRY, Kenneth Spicer",Republican,NE
1560,"CARVILLE, Edward Peter",Democrat,NV
6132,"McCARRAN, Patrick Anthony (Pat)",Democrat,NV
8320,"SCRUGHAM, James Graves",Democrat,NV
1027,"BRIDGES, Henry Styles (Styles)",Republican,NH
9401,"TOBEY, Charles William",Republican,NH
4210,"HAWKES, Albert Wahl",Republican,NJ
8635,"SMITH, Howard Alexander",Republican,NJ
1678,"CHAVEZ, Dennis",Democrat,NM
4184,"HATCH, Carl Atwood",Democrat,NM
6394,"MEAD, James Michael",Democrat,NY
