source,target,agreement_count,disagreement_count,total_votes,signed_weight,agreement_fraction
52,142,383,174,557,209,0.6876122082585279
52,165,334,207,541,127,0.6173752310536045
52,645,371,241,612,130,0.6062091503267973
52,660,338,276,614,62,0.5504885993485342
52,688,348,294,642,54,0.5420560747663551
52,823,461,183,644,278,0.7158385093167702
52,1252,372,286,658,86,0.5653495440729484
52,1366,353,318,671,35,0.526080476900149
52,1482,318,265,583,53,0.5454545454545454
52,1569,391,268,659,123,0.5933232169954477
52,1721,322,264,586,58,0.5494880546075085
52,2052,469,178,647,291,0.7248840803709428
52,2087,343,253,596,90,0.575503355704698
52,2267,397,275,672,122,0.5907738095238095
52,2822,319,269,588,50,0.5425170068027211
52,2901,241,212,453,29,0.5320088300220751
52,2987,320,337,657,-17,0.487062404870624
52,3255,427,208,635,219,0.6724409448818898
52,3388,264,327,591,-63,0.4467005076142132
52,3658,220,177,397,43,0.5541561712846348
52,3824,384,179,563,205,0.6820603907637656
52,4148,332,301,633,31,0.5244865718799369
52,4154,240,229,469,11,0.511727078891258
52,4660,390,255,645,135,0.6046511627906976
52,4728,336,254,590,82,0.5694915254237288
52,4812,322,248,570,74,0.5649122807017544
52,4851,426,244,670,182,0.6358208955223881
52,4898,395,216,611,179,0.646481178396072
52,5073,294,248,542,46,0.5424354243542435
52,5767,290,287,577,3,0.5025996533795494
52,5913,394,261,655,133,0.601526717557252
52,5967,338,288,626,50,0.5399361022364217
52,6151,315,245,560,70,0.5625
52,6249,290,184,474,106,0.6118143459915611
52,6256,213,220,433,-7,0.49191685912240185
52,6442,269,208,477,61,0.5639412997903563
52,6611,348,261,609,87,0.5714285714285714
52,6754,337,249,586,88,0.5750853242320819
52,6796,51,29,80,22,0.6375
52,6831,221,190,411,31,0.537712895377129
52,7229,407,264,671,143,0.6065573770491803
52,7637,72,32,104,40,0.6923076923076923
52,7638,329,349,678,-20,0.48525073746312686
52,7722,381,294,675,87,0.5644444444444444
52,7847,350,280,630,70,0.5555555555555556
52,8301,484,165,649,319,0.7457627118644068
52,8666,491,186,677,305,0.725258493353028
52,8764,301,230,531,71,0.5668549905838042
52,8883,340,299,639,41,0.5320813771517997
52,9141,364,298,662,66,0.5498489425981873
52,9174,343,307,650,36,0.5276923076923077
52,9369,373,294,667,79,0.5592203898050975
52,10147,358,260,618,98,0.5792880258899676
52,10450,407,234,641,173,0.6349453978159126
52,10513,390,224,614,166,0.6351791530944625
52,10514,381,222,603,159,0.6318407960199005
52,10535,400,209,609,191,0.6568144499178982
52,10557,429,244,673,185,0.637444279346211
52,10562,413,85,498,328,0.8293172690763052
52,10571,313,229,542,84,0.577490774907749
52,10593,388,261,649,127,0.5978428351309707
52,10630,386,203,589,183,0.6553480475382003
52,10777,355,293,648,62,0.5478395061728395
52,10800,297,262,559,35,0.5313059033989267
52,10802,338,318,656,20,0.5152439024390244
52,10804,344,282,626,62,0.549520766773163
52,10805,186,194,380,-8,0.48947368421052634
52,10807,387,232,619,155,0.6252019386106623
52,10808,298,280,578,18,0.5155709342560554
52,10810,321,195,516,126,0.622093023255814
52,10812,412,227,639,185,0.6447574334898278
52,10813,343,291,634,52,0.5410094637223974
52,10816,335,331,666,4,0.503003003003003
52,10817,430,192,622,238,0.6913183279742765
52,10818,321,259,580,62,0.553448275862069
52,10823,398,270,668,128,0.5958083832335329
52,11044,421,249,670,172,0.6283582089552239
52,11200,297,187,484,110,0.6136363636363636
52,11201,432,229,661,203,0.653555219364599
52,11202,355,263,618,92,0.5744336569579288
52,11203,399,253,652,146,0.6119631901840491
52,11204,279,323,602,-44,0.4634551495016611
52,11205,447,195,642,252,0.6962616822429907
52,11206,338,292,630,46,0.5365079365079365
52,12002,477,180,657,297,0.726027397260274
52,12032,392,196,588,196,0.6666666666666666
52,12100,332,335,667,-3,0.49775112443778113
52,12101,353,189,542,164,0.6512915129151291
52,12102,387,233,620,154,0.6241935483870967
52,12103,324,307,631,17,0.5134706814580031
52,12104,308,252,560,56,0.55
52,12105,275,275,550,0,0.5
52,12106,320,310,630,10,0.5079365079365079
52,12107,418,175,593,243,0.7048903878583473
52,12108,309,159,468,150,0.6602564102564102
52,12109,405,209,614,196,0.6596091205211726
52,13100,345,250,595,95,0.5798319327731093
52,13101,302,279,581,23,0.5197934595524957
52,13102,374,300,674,74,0.5548961424332344
52,13103,344,288,632,56,0.5443037974683544
52,13104,56,46,102,10,0.5490196078431373
52,99904,65,33,98,32,0.6632653061224489
142,165,284,187,471,97,0.6029723991507431
142,645,420,88,508,332,0.8267716535433071
142,660,314,221,535,93,0.5869158878504673
142,688,303,252,555,51,0.5459459459459459
142,823,425,139,564,286,0.7535460992907801
142,1252,211,349,560,-138,0.3767857142857143
142,1366,296,278,574,18,0.5156794425087108
142,1482,288,213,501,75,0.5748502994011976
142,1569,226,339,565,-113,0.4
142,1721,171,337,508,-166,0.33661417322834647
142,2052,348,206,554,142,0.628158844765343
142,2087,408,98,506,310,0.8063241106719368
142,2267,472,102,574,370,0.8222996515679443
142,2822,351,162,513,189,0.6842105263157895
142,2901,252,182,434,70,0.5806451612903226
142,2987,346,209,555,137,0.6234234234234234
142,3255,446,97,543,349,0.8213627992633518
142,3388,145,349,494,-204,0.2935222672064777
142,3658,293,67,360,226,0.8138888888888889
142,3824,386,108,494,278,0.7813765182186235
142,4148,150,386,536,-236,0.2798507462686567
142,4154,94,294,388,-200,0.2422680412371134
142,4660,471,82,553,389,0.8517179023508138
142,4728,197,312,509,-115,0.38703339882121807
142,4812,190,284,474,-94,0.4008438818565401
142,4851,321,250,571,71,0.5621716287215411
142,4898,244,276,520,-32,0.46923076923076923
142,5073,277,183,460,94,0.6021739130434782
142,5767,282,204,486,78,0.5802469135802469
142,5913,263,294,557,-31,0.47217235188509876
142,5967,174,355,529,-181,0.32892249527410206
142,6151,296,171,467,125,0.6338329764453962
142,6249,244,204,448,40,0.5446428571428571
142,6256,108,292,400,-184,0.27
142,6442,158,275,433,-117,0.3648960739030023
142,6611,259,269,528,-10,0.49053030303030304
142,6754,196,301,497,-105,0.39436619718309857
142,6796,69,16,85,53,0.8117647058823529
142,6831,117,234,351,-117,0.3333333333333333
142,7229,234,338,572,-104,0.4090909090909091
142,7637,93,15,108,78,0.8611111111111112
142,7638,190,389,579,-199,0.3281519861830743
142,7722,282,294,576,-12,0.4895833333333333
142,7847,190,343,533,-153,0.35647279549718575
142,8301,423,132,555,291,0.7621621621621621
142,8666,465,113,578,352,0.8044982698961938
142,8764,318,147,465,171,0.6838709677419355
142,8883,367,179,546,188,0.6721611721611722
142,9141,220,345,565,-125,0.3893805309734513
142,9174,345,214,559,131,0.6171735241502684
142,9369,458,116,574,342,0.7979094076655052
142,10147,184,337,521,-153,0.3531669865642994
142,10450,442,108,550,334,0.8036363636363636
142,10513,463,72,535,391,0.8654205607476636
142,10514,458,72,530,386,0.8641509433962264
142,10535,282,237,519,45,0.5433526011560693
142,10557,295,281,576,14,0.5121527777777778
142,10562,256,153,409,103,0.6259168704156479
142,10571,376,101,477,275,0.7882599580712788
142,10593,463,97,560,366,0.8267857142857142
142,10630,391,122,513,269,0.7621832358674464
142,10777,205,356,561,-151,0.36541889483065954
142,10800,140,335,475,-195,0.29473684210526313
142,10802,362,195,557,167,0.6499102333931778
142,10804,422,104,526,318,0.8022813688212928
142,10805,102,239,341,-137,0.2991202346041056
142,10807,440,95,535,345,0.822429906542056
142,10808,147,369,516,-222,0.28488372093023256
142,10810,233,216,449,17,0.5189309576837416
142,10812,441,102,543,339,0.8121546961325967
142,10813,161,369,530,-208,0.30377358490566037
142,10816,166,408,574,-242,0.289198606271777
142,10817,369,168,537,201,0.6871508379888268
142,10818,166,332,498,-166,0.3333333333333333
142,10823,468,105,573,363,0.8167539267015707
142,11044,438,140,578,298,0.7577854671280276
142,11200,371,82,453,289,0.8189845474613686
142,11201,257,309,566,-52,0.4540636042402827
142,11202,429,92,521,337,0.8234165067178503
142,11203,271,291,562,-20,0.4822064056939502
142,11204,264,263,527,1,0.5009487666034156
142,11205,317,230,547,87,0.5795246800731262
142,11206,290,265,555,25,0.5225225225225225
142,12002,441,119,560,322,0.7875
142,12032,347,162,509,185,0.6817288801571709
142,12100,363,205,568,158,0.6390845070422535
142,12101,369,95,464,274,0.7952586206896551
142,12102,385,157,542,228,0.7103321033210332
142,12103,167,368,535,-201,0.3121495327102804
142,12104,176,316,492,-140,0.35772357723577236
142,12105,126,346,472,-220,0.2669491525423729
142,12106,153,386,539,-233,0.28385899814471244
142,12107,355,150,505,205,0.7029702970297029
142,12108,302,121,423,181,0.7139479905437353
142,12109,326,205,531,121,0.6139359698681732
142,13100,406,112,518,294,0.7837837837837838
142,13101,254,243,497,11,0.5110663983903421
142,13102,191,385,576,-194,0.3315972222222222
142,13103,317,219,536,98,0.5914179104477612
142,13104,52,14,66,38,0.7878787878787878
142,99904,83,7,90,76,0.9222222222222223
165,645,282,230,512,52,0.55078125
165,660,373,140,513,233,0.7270955165692008
165,688,398,142,540,256,0.737037037037037
165,823,330,212,542,118,0.6088560885608856
165,1252,387,166,553,221,0.6998191681735986
165,1366,378,176,554,202,0.6823104693140795
165,1482,337,151,488,186,0.6905737704918032
165,1569,320,228,548,92,0.583941605839416
165,1721,313,183,496,130,0.6310483870967742
165,2052,283,251,534,32,0.5299625468164794
165,2087,257,235,492,22,0.5223577235772358
165,2267,314,241,555,73,0.5657657657657658
165,2822,314,198,512,116,0.61328125
165,2901,261,140,401,121,0.6508728179551122
165,2987,310,231,541,79,0.5730129390018485
165,3255,343,199,542,144,0.6328413284132841
165,3388,286,208,494,78,0.5789473684210527
165,3658,165,183,348,-18,0.47413793103448276
165,3824,250,231,481,19,0.5197505197505198
165,4148,316,208,524,108,0.6030534351145038
165,4154,211,165,376,46,0.5611702127659575
165,4660,298,229,527,69,0.5654648956356736
165,4728,313,176,489,137,0.6400817995910021
165,4812,321,151,472,170,0.6800847457627118
165,4851,383,173,556,210,0.6888489208633094
165,4898,315,196,511,119,0.6164383561643836
165,5073,304,154,458,150,0.6637554585152838
165,5767,326,158,484,168,0.6735537190082644
165,5913,404,144,548,260,0.7372262773722628
165,5967,324,191,515,133,0.629126213592233
165,6151,294,167,461,127,0.6377440347071583
165,6249,270,143,413,127,0.6537530266343826
165,6256,226,154,380,72,0.5947368421052631
165,6442,248,170,418,78,0.5933014354066986
165,6611,411,105,516,306,0.7965116279069767
165,6754,338,161,499,177,0.6773547094188377
165,6796,51,29,80,22,0.6375
165,6831,217,133,350,84,0.62
165,7229,377,178,555,199,0.6792792792792792
165,7637,64,41,105,23,0.6095238095238096
165,7638,331,230,561,101,0.5900178253119429
165,7722,416,143,559,273,0.7441860465116279
165,7847,326,199,525,127,0.6209523809523809
165,8301,315,219,534,96,0.5898876404494382
165,8666,357,204,561,153,0.6363636363636364
165,8764,290,157,447,133,0.6487695749440716
165,8883,319,212,531,107,0.60075329566855
165,9141,387,163,550,224,0.7036363636363636
165,9174,363,179,542,184,0.6697416974169742
165,9369,279,272,551,7,0.5063520871143375
165,10147,310,193,503,117,0.6163021868787276
165,10450,315,210,525,105,0.6
165,10513,284,223,507,61,0.5601577909270217
165,10514,273,228,501,45,0.5449101796407185
165,10535,311,193,504,118,0.6170634920634921
165,10557,331,225,556,106,0.5953237410071942
165,10562,260,141,401,119,0.6483790523690773
165,10571,231,227,458,4,0.5043668122270742
165,10593,308,236,544,72,0.5661764705882353
165,10630,260,235,495,25,0.5252525252525253
165,10777,340,205,545,135,0.6238532110091743
165,10800,259,197,456,62,0.5679824561403509
165,10802,316,226,542,90,0.5830258302583026
165,10804,260,255,515,5,0.5048543689320388
165,10805,204,135,339,69,0.6017699115044248
165,10807,307,206,513,101,0.5984405458089669
165,10808,291,202,493,89,0.59026369168357
165,10810,301,135,436,166,0.6903669724770642
165,10812,314,218,532,96,0.5902255639097744
165,10813,305,221,526,84,0.5798479087452472
165,10816,317,232,549,85,0.5774134790528234
165,10817,342,178,520,164,0.6576923076923077
165,10818,305,185,490,120,0.6224489795918368
165,10823,295,259,554,36,0.5324909747292419
165,11044,305,252,557,53,0.547576301615799
165,11200,236,192,428,44,0.5514018691588785
165,11201,312,232,544,80,0.5735294117647058
165,11202,276,236,512,40,0.5390625
165,11203,331,218,549,113,0.6029143897996357
165,11204,325,175,500,150,0.65
165,11205,329,209,538,120,0.6115241635687733
165,11206,357,171,528,186,0.6761363636363636
165,12002,313,233,546,80,0.5732600732600732
165,12032,284,215,499,69,0.5691382765531062
165,12100,326,227,553,99,0.5895117540687161
165,12101,269,188,457,81,0.5886214442013129
165,12102,315,204,519,111,0.6069364161849711
165,12103,313,211,524,102,0.5973282442748091
165,12104,314,152,466,162,0.6738197424892703
165,12105,247,208,455,39,0.5428571428571428
165,12106,296,230,526,66,0.5627376425855514
165,12107,283,204,487,79,0.5811088295687885
165,12108,220,167,387,53,0.5684754521963824
165,12109,321,183,504,138,0.6369047619047619
165,13100,245,253,498,-8,0.4919678714859438
165,13101,303,191,494,112,0.6133603238866396
165,13102,323,235,558,88,0.578853046594982
165,13103,352,168,520,184,0.676923076923077
