icpsr,bioname,party,state_abbrev
99912,"TRUMP, Donald John",Republican,USA
42102,"TUBERVILLE, Thomas Hawley (Tommy)",Republican,AL
42300,"BRITT, Katie Elizabeth",Republican,AL
40300,"MURKOWSKI, Lisa",Republican,AK
41500,"SULLIVAN, Daniel Scott",Republican,AK
21502,"GALLEGO, Ruben",Democrat,AZ
41905,"KELLY, Mark Edward",Democrat,AZ
20101,"BOOZMAN, John",Republican,AR
21301,"COTTON, Thomas Bryant (Tom)",Republican,AR
20104,"SCHIFF, Adam",Democrat,CA
42104,"PADILLA, Alejandro (Alex)",Democrat,CA
40910,"BENNET, Michael F.",Democrat,CO
42101,"HICKENLOOPER, John Wright",Democrat,CO
20707,"MURPHY, Christopher",Democrat,CT
41101,"BLUMENTHAL, Richard",Democrat,CT
21706,"BLUNT ROCHESTER, Lisa",Democrat,DE
40916,"COONS, Christopher A.",Democrat,DE
41102,"RUBIO, Marco",Republican,FL
41903,"SCOTT, Richard Lynn (Rick)",Republican,FL
42506,"MOODY, Ashley Brooke",Republican,FL
42103,"OSSOFF, Thomas Jonathan (Jon)",Democrat,GA
42105,"WARNOCK, Raphael Gamaliel",Democrat,GA
20713,"HIRONO, Mazie",Democrat,HI
41112,"SCHATZ, Brian Emanuel",Democrat,HI
29345,"CRAPO, Michael Dean",Republican,ID
40902,"RISCH, James",Republican,ID
15021,"DURBIN, Richard Joseph",Democrat,IL
21325,"DUCKWORTH, Tammy",Democrat,IL
21133,"YOUNG, Todd",Republican,IN
21702,"BANKS, James E.",Republican,IN
14226,"GRASSLEY, Charles Ernest",Republican,IA
41502,"ERNST, Joni",Republican,IA
21734,"MARSHALL, Roger Wayne",Republican,KS
29722,"MORAN, Jerry",Republican,KS
14921,"MCCONNELL, Addison Mitchell (Mitch)",Republican,KY
41104,"PAUL, Rand",Republican,KY
20919,"CASSIDY, Bill",Republican,LA
41703,"KENNEDY, John Neely",Republican,LA
41300,"KING, Angus Stanley, Jr.",Other,ME
49703,"COLLINS, Susan Margaret",Republican,ME
20330,"VAN HOLLEN, Christopher",Democrat,MD
42500,"ALSOBROOKS, Angela Deneece",Democrat,MD
14435,"MARKEY, Edward John",Democrat,MA
41301,"WARREN, Elizabeth",Democrat,MA
20923,"PETERS, Gary C.",Democrat,MI
21965,"SLOTKIN, Elissa",Democrat,MI
40700,"KLOBUCHAR, Amy",Democrat,MN
41706,"SMITH, Tina",Democrat,MN
29534,"WICKER, Roger F.",Republican,MS
41707,"HYDE-SMITH, Cindy",Republican,MS
41901,"HAWLEY, Joshua David",Republican,MO
42303,"SCHMITT, Eric Stephen",Republican,MO
21338,"DAINES, Steve",Republican,MT
42503,"SHEEHY, Timothy Patrick",Republican,MT
41302,"FISCHER, Debra (Deb)",Republican,NE
42302,"RICKETTS, John Peter (Pete)",Republican,NE
21743,"ROSEN, Jacklyn Sheryl",Democrat,NV
41700,"CORTEZ MASTO, Catherine Marie",Democrat,NV
40906,"SHAHEEN, Jeanne",Democrat,NH
41702,"HASSAN, Margaret Wood (Maggie)",Democrat,NH
21937,"KIM, Andy",Democrat,NJ
41308,"BOOKER, Cory Anthony",Democrat,NJ
20930,"HEINRICH, Martin",Democrat,NM
20932,"LUJÁN, Ben Ray",Democrat,NM
14858,"SCHUMER, Charles Ellis (Chuck)",Democrat,NY
20735,"GILLIBRAND, Kirsten",Democrat,NY
21708,"BUDD, Theodore Paul",Republican,NC
41504,"TILLIS, Thomas Roland (Thom)",Republican,NC
21350,"CRAMER, Kevin",Republican,ND
41107,"HOEVEN, John",Republican,ND
42502,"MORENO, Bernardo (Bernie)",Republican,OH
42505,"HUSTED, Jon Allen",Republican,OH
21166,"LANKFORD, James",Republican,OK
21355,"MULLIN, Markwayne",Republican,OK
42507,"ARMSTRONG, Alan",Republican,OK
14871,"WYDEN, Ronald Lee",Democrat,OR
40908,"MERKLEY, Jeff",Democrat,OR
42301,"FETTERMAN, John Karl",Democrat,PA
42501,"MCCORMICK, David Harold",Republican,PA
29142,"REED, John F. (Jack)",Democrat,RI
40704,"WHITEHOUSE, Sheldon",Democrat,RI
21173,"SCOTT, Tim",Republican,SC
29566,"GRAHAM, Lindsey O.",Republican,SC
29754,"THUNE, John",Republican,SD
41505,"ROUNDS, Marion Michael (Mike)",Republican,SD
20351,"BLACKBURN, Marsha",Republican,TN
42100,"HAGERTY, William Francis (Bill)",Republican,TN
40305,"CORNYN, John",Republican,TX
41304,"CRUZ, Rafael Edward (Ted)",Republican,TX
21755,"CURTIS, John R.",Republican,UT
41110,"LEE, Mike",Republican,UT
20750,"WELCH, Peter",Democrat,VT
29147,"SANDERS, Bernard",Other,VT
40909,"WARNER, Mark R.",Democrat,VA
41305,"KAINE, Timothy Michael (Tim)",Democrat,VA
39310,"CANTWELL, Maria E.",Democrat,WA
49308,"MURRAY, Patty",Democrat,WA
20146,"CAPITO, Shelley Moore",Republican,WV
42504,"JUSTICE, James Conley, II",Republican,WV
29940,"BALDWIN, Tammy",Democrat,WI
41111,"JOHNSON, Ron",Republican,WI
20953,"LUMMIS, Cynthia M.",Republican,WY
40707,"BARRASSO, John A.",Republican,WY
