icpsr,bioname,party,state_abbrev
4418,"HILL, Joseph Lister",Democrat,AL
8764,"SPARKMAN, John Jackson",Democrat,AL
3658,"GOLDWATER, Barry Morris",Republican,AZ
4227,"HAYDEN, Carl Trumbull",Democrat,AZ
3388,"FULBRIGHT, James William",Democrat,AR
6151,"McCLELLAN, John Little",Democrat,AR
5343,"KNOWLAND, William Fife",Republican,CA
5372,"KUCHEL, Thomas Henry",Republican,CA
4949,"JOHNSON, Edwin Carl",Democrat,CO
6525,"MILLIKIN, Eugene Donald",Republican,CO
1329,"BUSH, Prescott Sheldon",Republican,CT
7656,"PURTELL, William Arthur",Republican,CT
3349,"FREAR, Joseph Allen, Jr.",Democrat,DE
10163,"WILLIAMS, John James",Republican,DE
4520,"HOLLAND, Spessard Lindsey",Democrat,FL
8593,"SMATHERS, George Armistead",Democrat,FL
3536,"GEORGE, Walter Franklin",Democrat,GA
8138,"RUSSELL, Richard Brevard, Jr.",Democrat,GA
2803,"DWORSHAK, Henry Clarence",Republican,ID
9930,"WELKER, Herman",Republican,ID
2609,"DIRKSEN, Everett McKinley",Republican,IL
2691,"DOUGLAS, Paul Howard",Democrat,IL
1489,"CAPEHART, Homer Earl",Republican,IN
4922,"JENNER, William Ezra",Republican,IN
3603,"GILLETTE, Guy Mark",Democrat,IA
4382,"HICKENLOOPER, Bourke Blakemore",Republican,IA
1510,"CARLSON, Frank",Republican,KS
8270,"SCHOEPPEL, Andrew Frank",Republican,KS
1831,"CLEMENTS, Earle C.",Democrat,KY
2052,"COOPER, John Sherman",Republican,KY
2901,"ELLENDER, Allen Joseph",Democrat,LA
5767,"LONG, Russell Billiu",Democrat,LA
7271,"PAYNE, Frederick George",Republican,ME
8666,"SMITH, Margaret Chase",Republican,ME
546,"BEALL, James Glenn",Republican,MD
1341,"BUTLER, John Marshall",Republican,MD
5180,"KENNEDY, John Fitzgerald",Democrat,MA
8185,"SALTONSTALL, Leverett",Republican,MA
3110,"FERGUSON, Homer Samuel",Republican,MI
7551,"POTTER, Charles Edward",Republican,MI
4728,"HUMPHREY, Hubert Horatio, Jr.",Democrat,MN
9374,"THYE, Edward John",Republican,MN
2822,"EASTLAND, James Oliver",Democrat,MS
8883,"STENNIS, John Cornelius",Democrat,MS
4328,"HENNINGS, Thomas Carey, Jr.",Democrat,MO
9141,"SYMINGTON, William Stuart (Stuart)",Democrat,MO
5967,"MANSFIELD, Michael Joseph (Mike)",Democrat,MT
6820,"MURRAY, James Edward",Democrat,MT
9,"ABEL, Hazel Hempel",Republican,NE
923,"BOWRING, Eva Kelly",Republican,NE
1338,"BUTLER, Hugh Alfred",Republican,NE
3839,"GRISWOLD, Dwight Palmer",Republican,NE
4660,"HRUSKA, Roman Lee",Republican,NE
7837,"REYNOLDS, Samuel Williams",Republican,NE
1106,"BROWN, Ernest S.",Republican,NV
5944,"MALONE, George Wilson",Republican,NV
6132,"McCARRAN, Patrick Anthony (Pat)",Democrat,NV
1027,"BRIDGES, Henry Styles (Styles)",Republican,NH
2087,"COTTON, Norris H.",Republican,NH
9401,"TOBEY, Charles William",Republican,NH
9576,"UPTON, Robert William",Republican,NH
4321,"HENDRICKSON, Robert Clymer",Republican,NJ
