congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
119,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946.0,,0.403,0.162,,,,,,,
119,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954.0,,0.936,-0.352,-28.99361,0.96365,783,8,,0.936,-0.352
119,Senate,42300,41,0,AL,200,,,"BRITT, Katie Elizabeth",B001319,1982.0,,0.587,0.582,-8.9074,0.98918,819,4,,0.677,0.547
119,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957.0,,0.203,-0.304,-116.06472,0.86604,807,49,,0.174,-0.218
119,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964.0,,0.463,0.187,-106.67326,0.87732,815,32,,0.291,0.249
119,Senate,21502,61,0,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.358,0.139,-95.76806,0.87674,728,47,,-0.307,0.258
119,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964.0,,-0.267,0.289,-84.33944,0.89838,787,43,,-0.294,0.282
119,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950.0,,0.426,0.34,-9.7574,0.98821,823,4,,0.398,0.318
119,Senate,21301,42,0,AR,200,,,"COTTON, Thomas Bryant (Tom)",C001095,1977.0,,0.578,0.201,-10.50689,0.9873,822,3,,0.521,0.311
119,Senate,20104,71,0,CA,100,,,"SCHIFF, Adam",S001150,1960.0,,-0.353,-0.117,-91.92756,0.8937,818,54,,-0.383,-0.043
119,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973.0,,-0.443,-0.241,-55.04287,0.93399,806,33,,-0.554,-0.076
119,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964.0,,-0.245,-0.188,-87.85644,0.8911,762,39,,-0.305,-0.25
119,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952.0,,-0.301,0.002,-87.06477,0.89996,826,35,,-0.321,0.016
119,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973.0,,-0.289,-0.259,-112.15426,0.87129,814,47,,-0.548,-0.595
119,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946.0,,-0.433,-0.155,-45.94869,0.94583,825,21,,-0.419,-0.172
119,Senate,21706,11,0,DE,100,,,"BLUNT ROCHESTER, Lisa",B001303,1962.0,,-0.389,-0.116,-44.53038,0.9477,829,13,,-0.449,-0.188
119,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963.0,,-0.24,-0.208,-85.2955,0.89778,791,29,,-0.262,-0.175
119,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971.0,,0.616,-0.184,-0.00062,0.99991,7,0,,0.569,0.415
119,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952.0,,0.733,-0.079,-34.71197,0.95919,833,17,,0.933,-0.122
119,Senate,42506,43,0,FL,200,,,"MOODY, Ashley Brooke",M001244,1975.0,,0.609,0.062,-24.91126,0.97001,818,9,,0.61,0.056
119,Senate,42103,44,0,GA,100,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987.0,,-0.462,0.473,-49.58729,0.93879,785,20,,-0.529,0.709
119,Senate,42105,44,0,GA,100,,,"WARNOCK, Raphael Gamaliel",W000790,1969.0,,-0.435,0.423,-66.35451,0.92144,811,31,,-0.475,0.608
119,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947.0,,-0.512,-0.086,-45.49266,0.94679,832,16,,-0.5,-0.06
119,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972.0,,-0.444,-0.135,-62.60048,0.92693,825,26,,-0.442,-0.357
119,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951.0,,0.505,0.291,-10.03341,0.9879,824,2,,0.564,0.25
119,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943.0,,0.551,0.382,-10.14524,0.98758,812,5,,0.645,0.253
119,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944.0,,-0.339,-0.313,-118.66321,0.86388,811,56,,-0.258,-0.407
119,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968.0,,-0.345,0.057,-72.7807,0.91036,775,42,,-0.402,-0.175
119,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972.0,,0.444,-0.042,-33.89738,0.95989,828,11,,0.537,-0.106
119,Senate,21702,22,0,IN,200,,,"BANKS, James E.",B001299,1979.0,,0.649,0.02,-11.47244,0.98617,824,4,,0.686,0.177
119,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933.0,,0.362,-0.034,-24.37049,0.97043,812,9,,0.46,0.158
119,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970.0,,0.536,-0.027,-16.97275,0.97941,816,6,,0.556,0.092
119,Senate,21734,32,0,KS,200,,,"MARSHALL, Roger Wayne",M001198,1960.0,,0.606,0.142,-12.10984,0.9855,829,7,,0.588,0.158
119,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954.0,,0.413,0.222,-27.59012,0.96555,787,12,,0.377,0.231
119,Senate,14921,51,0,KY,200,,,"MCCONNELL, Addison Mitchell (Mitch)",M000355,1942.0,,0.402,0.017,-59.80518,0.92355,752,20,,0.328,-0.05
119,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963.0,,0.878,-0.479,-252.63745,0.72776,795,106,,0.812,-0.584
119,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957.0,,0.462,-0.052,-45.66438,0.94384,790,18,,0.409,-0.118
119,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951.0,,0.558,-0.142,-27.37302,0.96717,820,11,,0.634,-0.069
119,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944.0,,-0.169,-0.183,-125.98886,0.8579,822,50,,-0.178,-0.175
119,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952.0,,0.124,-0.506,-125.40355,0.86055,835,66,,0.171,-0.431
119,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959.0,,-0.399,-0.228,-46.34303,0.94518,822,17,,-0.488,-0.508
119,Senate,42500,52,0,MD,100,,,"ALSOBROOKS, Angela Deneece",A000382,1971.0,,-0.447,0.053,-56.68789,0.93328,821,24,,-0.447,0.053
119,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946.0,,-0.517,-0.47,-17.66717,0.97894,830,2,,-0.716,-0.558
