congress,chamber,rollnumber,icpsr,cast_code,prob
86,Senate,1,52,6,45.00647752837167
86,Senate,1,142,6,28.45289448052064
86,Senate,1,165,6,23.313701886272632
86,Senate,1,486,1,70.99086117203886
86,Senate,1,546,1,55.80136935386858
86,Senate,1,645,1,83.24830118216569
86,Senate,1,688,1,88.94318639988185
86,Senate,1,1027,1,73.3893749664888
86,Senate,1,1329,1,37.30002913684337
86,Senate,1,1341,1,85.35020697063325
86,Senate,1,1365,1,97.5532223741594
86,Senate,1,1366,1,89.92664831211192
86,Senate,1,1482,1,87.53467872383999
86,Senate,1,1489,1,85.04106719100146
86,Senate,1,1510,1,78.35378231696545
86,Senate,1,1540,6,65.60701313122841
86,Senate,1,1569,6,88.18276353925903
86,Senate,1,1570,1,89.53278650883281
86,Senate,1,1678,1,84.22910277944959
86,Senate,1,1721,1,69.54737630799644
86,Senate,1,1776,6,80.23882419952025
86,Senate,1,2052,6,42.47460677801779
86,Senate,1,2087,1,82.06733417296903
86,Senate,1,2267,1,93.56286591576041
86,Senate,1,2609,1,68.96580780552675
86,Senate,1,2636,1,60.96573311659409
86,Senate,1,2691,6,94.37143490932313
86,Senate,1,2803,1,93.5057225550918
86,Senate,1,2822,1,98.73231009910079
86,Senate,1,2901,1,97.92463651530174
86,Senate,1,2965,1,68.99631234432655
86,Senate,1,2987,1,98.32919022622599
86,Senate,1,3349,1,94.55343469831665
86,Senate,1,3388,1,91.48748948615648
86,Senate,1,3658,7,89.16272751178123
86,Senate,1,3704,1,83.91200027467083
86,Senate,1,3783,1,51.77001899200215
86,Senate,1,3864,1,69.36425468768243
86,Senate,1,4148,6,77.30464802183799
86,Senate,1,4154,1,62.80153245427951
86,Senate,1,4227,1,81.14802948125369
86,Senate,1,4328,1,49.81974157285168
86,Senate,1,4382,1,81.26067741113812
86,Senate,1,4418,1,93.63587062996122
86,Senate,1,4520,1,95.82730743294483
86,Senate,1,4660,1,91.69305601838093
86,Senate,1,4728,1,43.087504795962204
86,Senate,1,4851,6,38.68884348568342
86,Senate,1,4898,6,88.70394420012013
86,Senate,1,4979,1,87.215786063832
86,Senate,1,5009,1,97.00702963461072
86,Senate,1,5073,1,97.82771435610087
86,Senate,1,5116,6,75.84917145569462
86,Senate,1,5122,1,69.75704109912262
86,Senate,1,5180,1,39.200429832817136
86,Senate,1,5213,1,93.07521244145445
86,Senate,1,5372,6,54.54817049792968
