congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,President,99912,99,0.0,USA,200.0,0,0,"TRUMP, Donald John",,1946.0,,0.403,0.162,,,,,,,
116,Senate,41705,41,0.0,AL,100.0,,,"JONES, Gordon Douglas (Doug)",J000300,1954.0,,-0.088,0.187,-80.32594,0.88065,632,33,,-0.081,0.234
116,Senate,94659,41,0.0,AL,200.0,,,"SHELBY, Richard C.",S000320,1934.0,,0.446,0.57,-45.74049,0.93334,663,27,,0.437,0.219
116,Senate,40300,81,0.0,AK,200.0,,,"MURKOWSKI, Lisa",M001153,1957.0,,0.203,-0.304,-49.03246,0.92431,623,12,,0.283,-0.424
116,Senate,41500,81,0.0,AK,200.0,,,"SULLIVAN, Daniel Scott",S001198,1964.0,,0.463,0.187,-55.62862,0.91786,649,24,,0.51,-0.04
116,Senate,21300,61,0.0,AZ,100.0,,,"SINEMA, Kyrsten",S001191,1976.0,,-0.105,0.076,-86.25793,0.86773,608,27,,-0.065,0.217
116,Senate,21501,61,0.0,AZ,200.0,,,"MCSALLY, Martha",M001197,1966.0,,0.345,0.027,-35.62669,0.94281,605,13,,0.338,0.209
116,Senate,41905,61,0.0,AZ,100.0,,,"KELLY, Mark Edward",K000377,1964.0,,-0.267,0.289,-21.57048,0.61248,44,13,,-0.064,0.498
116,Senate,20101,42,0.0,AR,200.0,,,"BOOZMAN, John",B001236,1950.0,,0.426,0.34,-31.33037,0.95418,668,16,,0.354,0.245
116,Senate,21301,42,0.0,AR,200.0,,,"COTTON, Thomas Bryant (Tom)",C001095,1977.0,,0.578,0.201,-77.16616,0.88997,662,30,,0.471,-0.083
116,Senate,41701,71,0.0,CA,100.0,,,"HARRIS, Kamala Devi",H001075,1964.0,,-0.709,-0.105,-29.10452,0.90983,308,12,,-0.729,-0.137
116,Senate,49300,71,0.0,CA,100.0,,,"FEINSTEIN, Dianne",F000062,1933.0,2023.0,-0.268,-0.184,-78.11306,0.88838,660,24,,-0.263,-0.057
116,Senate,21112,62,0.0,CO,200.0,,,"GARDNER, Cory",G000562,1974.0,,0.444,-0.029,-48.59692,0.92807,651,21,,0.355,-0.009
116,Senate,40910,62,0.0,CO,100.0,,,"BENNET, Michael F.",B001267,1964.0,,-0.245,-0.188,-101.97316,0.8316,553,43,,-0.3,-0.144
116,Senate,20707,1,0.0,CT,100.0,,,"MURPHY, Christopher",M001169,1973.0,,-0.289,-0.259,-180.94521,0.76147,664,76,,-0.165,-0.323
116,Senate,41101,1,0.0,CT,100.0,,,"BLUMENTHAL, Richard",B001277,1946.0,,-0.433,-0.155,-110.39398,0.8464,662,47,,-0.456,-0.173
116,Senate,15015,11,0.0,DE,100.0,,,"CARPER, Thomas Richard",C000174,1947.0,,-0.179,-0.225,-105.49719,0.8531,664,29,,-0.19,-0.211
116,Senate,40916,11,0.0,DE,100.0,,,"COONS, Christopher A.",C001088,1963.0,,-0.24,-0.208,-77.81594,0.88635,645,34,,-0.21,-0.237
