source,target,agreement_count,disagreement_count,total_votes,signed_weight,agreement_fraction
660,1252,479,239,718,240,0.6671309192200557
660,1366,564,183,747,381,0.7550200803212851
660,1482,500,160,660,340,0.7575757575757576
660,1721,363,186,549,177,0.6612021857923497
660,3658,270,270,540,0,0.5
660,4812,422,141,563,281,0.7495559502664298
660,4851,538,209,747,329,0.7202141900937081
660,4898,380,284,664,96,0.572289156626506
660,5767,409,163,572,246,0.715034965034965
660,5913,473,206,679,267,0.6966126656848306
660,6256,324,212,536,112,0.6044776119402985
660,6831,268,129,397,139,0.6750629722921915
660,7638,354,394,748,-40,0.4732620320855615
660,7722,503,244,747,259,0.6733601070950469
660,7847,443,189,632,254,0.7009493670886076
660,8883,458,182,640,276,0.715625
660,9174,336,153,489,183,0.6871165644171779
660,9369,386,359,745,27,0.5181208053691275
660,10147,438,252,690,186,0.6347826086956522
660,10450,401,261,662,140,0.6057401812688822
660,10513,395,315,710,80,0.5563380281690141
660,10535,344,255,599,89,0.5742904841402338
660,10557,378,323,701,55,0.5392296718972895
660,10562,408,240,648,168,0.6296296296296297
660,10605,471,201,672,270,0.7008928571428571
660,10715,374,244,618,130,0.6051779935275081
660,10791,518,197,715,321,0.7244755244755244
660,10800,373,209,582,164,0.6408934707903781
660,10802,396,327,723,69,0.5477178423236515
660,10808,216,157,373,59,0.579088471849866
660,10816,416,263,679,153,0.6126656848306333
660,10818,458,253,711,205,0.6441631504922645
660,10823,372,304,676,68,0.5502958579881657
660,11029,319,381,700,-62,0.45571428571428574
660,11043,423,288,711,135,0.5949367088607594
660,11044,355,368,723,-13,0.49100968188105115
660,11200,303,230,533,73,0.5684803001876173
660,11203,373,330,703,43,0.5305832147937412
660,11204,492,200,692,292,0.7109826589595376
660,11205,434,265,699,169,0.6208869814020028
660,12032,368,305,673,63,0.5468053491827637
660,12039,422,272,694,150,0.6080691642651297
660,12101,409,265,674,144,0.6068249258160238
660,12103,443,227,670,216,0.6611940298507463
660,12104,414,233,647,181,0.6398763523956723
660,12105,303,146,449,157,0.6748329621380846
660,12107,379,293,672,86,0.5639880952380952
660,12109,386,296,682,90,0.5659824046920822
660,13039,442,286,728,156,0.6071428571428571
660,13050,375,312,687,63,0.5458515283842795
660,13101,552,152,704,400,0.7840909090909091
660,13102,433,227,660,206,0.656060606060606
660,14002,280,411,691,-131,0.40520984081041966
660,14009,401,304,705,97,0.5687943262411348
660,14010,358,342,700,16,0.5114285714285715
660,14073,462,265,727,197,0.6354883081155434
660,14077,293,374,667,-81,0.43928035982008995
660,14101,405,237,642,168,0.6308411214953271
660,14103,417,311,728,106,0.5728021978021978
660,14105,318,422,740,-104,0.4297297297297297
660,14106,510,166,676,344,0.7544378698224852
660,14107,539,152,691,387,0.7800289435600579
660,14108,539,174,713,365,0.7559607293127629
660,14203,476,226,702,250,0.6780626780626781
660,14268,301,283,584,18,0.5154109589041096
660,14279,429,262,691,167,0.6208393632416788
660,14300,478,212,690,266,0.6927536231884058
660,14302,497,204,701,293,0.7089871611982882
660,14303,321,399,720,-78,0.44583333333333336
660,14304,494,207,701,287,0.7047075606276747
660,14305,462,236,698,226,0.66189111747851
660,14307,419,276,695,143,0.6028776978417266
660,14308,433,232,665,201,0.6511278195488722
660,14309,447,235,682,212,0.655425219941349
660,14310,364,252,616,112,0.5909090909090909
660,14500,410,287,697,123,0.5882352941176471
660,14501,427,301,728,126,0.5865384615384616
660,14502,481,225,706,256,0.6813031161473088
660,14503,314,406,720,-92,0.4361111111111111
660,14504,371,320,691,51,0.5369030390738061
660,14506,365,361,726,4,0.5027548209366391
660,14508,438,247,685,191,0.6394160583941606
