icpsr,bioname,party,state_abbrev
99906,"CARTER, James Earl, Jr.",Democrat,USA
8764,"SPARKMAN, John Jackson",Democrat,AL
12100,"ALLEN, James Browning",Democrat,AL
14517,"ALLEN, Maryon Pittman",Democrat,AL
12105,"GRAVEL, Maurice Robert (Mike)",Democrat,AK
12109,"STEVENS, Theodore Fulton (Ted)",Republican,AK
3658,"GOLDWATER, Barry Morris",Republican,AZ
14502,"DeCONCINI, Dennis Webster",Democrat,AZ
6151,"McCLELLAN, John Little",Democrat,AR
14300,"BUMPERS, Dale",Democrat,AR
14514,"HODGES, Kaneaster, Jr.",Democrat,AR
12103,"CRANSTON, Alan",Democrat,CA
14504,"HAYAKAWA, Samuel Ichiye",Republican,CA
14104,"HASKELL, Floyd Kirk",Democrat,CO
14305,"HART, Gary Warren",Democrat,CO
7847,"RIBICOFF, Abraham Alexander",Democrat,CT
12032,"WEICKER, Lowell Palmer, Jr.",Republican,CT
11044,"ROTH, William Victor, Jr.",Republican,DE
14101,"BIDEN, Joseph Robinette (Joe), Jr.",Democrat,DE
13101,"CHILES, Lawton Mainor, Jr.",Democrat,FL
14309,"STONE, Richard Bernard",Democrat,FL
9174,"TALMADGE, Herman Eugene",Democrat,GA
14108,"NUNN, Samuel Augustus",Democrat,GA
4812,"INOUYE, Daniel Ken",Democrat,HI
10605,"MATSUNAGA, Spark Masayuki",Democrat,HI
1721,"CHURCH, Frank Forrester",Democrat,ID
11029,"McCLURE, James Albertus",Republican,ID
11205,"PERCY, Charles Harting",Republican,IL
13102,"STEVENSON, Adlai Ewing III",Democrat,IL
10800,"BAYH, Birch Evans",Democrat,IN
14506,"LUGAR, Richard Green",Republican,IN
10715,"CULVER, John Chester",Democrat,IA
14102,"CLARK, Richard Clarence (Dick)",Democrat,IA
10513,"DOLE, Robert Joseph (Bob)",Republican,KS
10817,"PEARSON, James Blackwood",Republican,KS
14106,"HUDDLESTON, Walter Darlington",Democrat,KY
14302,"FORD, Wendell Hampton",Democrat,KY
5767,"LONG, Russell Billiu",Democrat,LA
14107,"JOHNSTON, John Bennett, Jr.",Democrat,LA
6831,"MUSKIE, Edmund Sixtus",Democrat,ME
10736,"HATHAWAY, William Dodd",Democrat,ME
10535,"MATHIAS, Charles McCurdy, Jr.",Republican,MD
13039,"SARBANES, Paul Spyros",Democrat,MD
10808,"KENNEDY, Edward Moore (Ted)",Democrat,MA
11201,"BROOKE, Edward William, III",Republican,MA
3824,"GRIFFIN, Robert Paul",Republican,MI
11043,"RIEGLE, Donald Wayne, Jr.",Democrat,MI
4728,"HUMPHREY, Hubert Horatio, Jr.",Democrat,MN
14513,"ANDERSON, Wendell Richard",Democrat,MN
14516,"HUMPHREY, Muriel Buck",Democrat,MN
2822,"EASTLAND, James Oliver",Democrat,MS
8883,"STENNIS, John Cornelius",Democrat,MS
12104,"EAGLETON, Thomas Francis",Democrat,MO
14501,"DANFORTH, John Claggett",Republican,MO
6442,"METCALF, Lee Warren",Democrat,MT
12039,"MELCHER, John",Democrat,MT
14515,"HATFIELD, Paul Gerhart",Democrat,MT
2267,"CURTIS, Carl Thomas",Republican,NE
14512,"ZORINSKY, Edward",Democrat,NE
1482,"CANNON, Howard Walter",Democrat,NV
14077,"LAXALT, Paul Dominique",Republican,NV
10810,"McINTYRE, Thomas James",Democrat,NH
14310,"DURKIN, John Anthony",Democrat,NH
1569,"CASE, Clifford Philip",Republican,NJ
10147,"WILLIAMS, Harrison Arlington, Jr.",Democrat,NJ
14103,"DOMENICI, Pete Vichi",Republican,NM
14510,"SCHMITT, Harrison Hagan",Republican,NM
4898,"JAVITS, Jacob Koppel",Republican,NY
14508,"MOYNIHAN, Daniel Patrick",Democrat,NY
14105,"HELMS, Jesse",Republican,NC
14308,"MORGAN, Robert Burren",Democrat,NC
1252,"BURDICK, Quentin Northrup",Democrat,ND
10450,"YOUNG, Milton Ruben",Republican,ND
14073,"METZENBAUM, Howard Morton",Democrat,OH
14304,"GLENN, John Herschel, Jr.",Democrat,OH
12101,"BELLMON, Henry Louis",Republican,OK
14100,"BARTLETT, Dewey Follett",Republican,OK
11203,"HATFIELD, Mark Odom",Republican,OR
12107,"PACKWOOD, Robert William",Republican,OR
10557,"SCHWEIKER, Richard Schultz",Republican,PA
13050,"HEINZ, Henry John, III",Republican,PA
10818,"PELL, Claiborne de Borda",Democrat,RI
14500,"CHAFEE, John Hubbard",Republican,RI
9369,"THURMOND, James Strom",Republican,SC
11204,"HOLLINGS, Ernest Frederick (Fritz)",Democrat,SC
6256,"MCGOVERN, George Stanley",Democrat,SD
13000,"ABOUREZK, James George",Democrat,SD
11200,"BAKER, Howard Henry, Jr.",Republican,TN
14509,"SASSER, James Ralph",Democrat,TN
660,"BENTSEN, Lloyd Millard, Jr.",Democrat,TX
10823,"TOWER, John Goodwin",Republican,TX
14303,"GARN, Edwin Jacob (Jake)",Republican,UT
14503,"HATCH, Orrin Grant",Republican,UT
10562,"STAFFORD, Robert Theodore",Republican,VT
14307,"LEAHY, Patrick Joseph",Democrat,VT
10802,"BYRD, Harry Flood, Jr.",Other,VA
11048,"SCOTT, William Lloyd",Republican,VA
4851,"JACKSON, Henry Martin (Scoop)",Democrat,WA
5913,"MAGNUSON, Warren Grant",Democrat,WA
1366,"BYRD, Robert Carlyle",Democrat,WV
7722,"RANDOLPH, Jennings",Democrat,WV
7638,"PROXMIRE, William",Democrat,WI
10816,"NELSON, Gaylord Anton",Democrat,WI
11202,"HANSEN, Clifford Peter",Republican,WY
14511,"WALLOP, Malcolm",Republican,WY
