icpsr,bioname,party,state_abbrev
4418,"HILL, Joseph Lister",Democrat,AL
8764,"SPARKMAN, John Jackson",Democrat,AL
4227,"HAYDEN, Carl Trumbull",Democrat,AZ
6242,"McFARLAND, Ernest William",Democrat,AZ
3388,"FULBRIGHT, James William",Democrat,AR
6151,"McCLELLAN, John Little",Democrat,AR
2702,"DOWNEY, Sheridan",Democrat,CA
5343,"KNOWLAND, William Fife",Republican,CA
4949,"JOHNSON, Edwin Carl",Democrat,CO
6525,"MILLIKIN, Eugene Donald",Republican,CO
390,"BALDWIN, Raymond Earl",Republican,CT
6346,"McMAHON, Brien",Democrat,CT
1194,"BUCK, Clayton Douglass",Republican,DE
10163,"WILLIAMS, John James",Republican,DE
4520,"HOLLAND, Spessard Lindsey",Democrat,FL
7333,"PEPPER, Claude Denson",Democrat,FL
3536,"GEORGE, Walter Franklin",Democrat,GA
8138,"RUSSELL, Richard Brevard, Jr.",Democrat,GA
2803,"DWORSHAK, Henry Clarence",Republican,ID
9210,"TAYLOR, Glen Hearst",Democrat,ID
1071,"BROOKS, Charles Wayland",Republican,IL
5823,"LUCAS, Scott Wike",Democrat,IL
1489,"CAPEHART, Homer Earl",Republican,IN
4922,"JENNER, William Ezra",Republican,IN
4382,"HICKENLOOPER, Bourke Blakemore",Republican,IA
10221,"WILSON, George Allison",Republican,IA
1494,"CAPPER, Arthur",Republican,KS
7780,"REED, Clyde Martin",Republican,KS
437,"BARKLEY, Alben William",Democrat,KY
2052,"COOPER, John Sherman",Republican,KY
2901,"ELLENDER, Allen Joseph",Democrat,LA
3090,"FEAZEL, William Crosson",Democrat,LA
7126,"OVERTON, John Holmes",Democrat,LA
1021,"BREWSTER, Ralph Owen",Republican,ME
10047,"WHITE, Wallace Humphrey, Jr.",Republican,ME
7020,"O'CONOR, Herbert Romulus",Democrat,MD
9538,"TYDINGS, Millard Evelyn",Democrat,MD
5739,"LODGE, Henry Cabot, Jr.",Republican,MA
8185,"SALTONSTALL, Leverett",Republican,MA
3110,"FERGUSON, Homer Samuel",Republican,MI
9604,"VANDENBERG, Arthur Hendrick",Republican,MI
394,"BALL, Joseph Hurst",Republican,MN
9374,"THYE, Edward John",Republican,MN
2822,"EASTLAND, James Oliver",Democrat,MS
8883,"STENNIS, John Cornelius",Democrat,MS
2656,"DONNELL, Forrest C.",Republican,MO
5158,"KEM, James Preston",Republican,MO
2838,"ECTON, Zales Nelson",Republican,MT
6820,"MURRAY, James Edward",Democrat,MT
1338,"BUTLER, Hugh Alfred",Republican,NE
9998,"WHERRY, Kenneth Spicer",Republican,NE
5944,"MALONE, George Wilson",Republican,NV
6132,"McCARRAN, Patrick Anthony (Pat)",Democrat,NV
1027,"BRIDGES, Henry Styles (Styles)",Republican,NH
9401,"TOBEY, Charles William",Republican,NH
4210,"HAWKES, Albert Wahl",Republican,NJ
8635,"SMITH, Howard Alexander",Republican,NJ
1678,"CHAVEZ, Dennis",Democrat,NM
4184,"HATCH, Carl Atwood",Democrat,NM
4834,"IVES, Irving McNeil",Republican,NY
9713,"WAGNER, Robert Ferdinand",Democrat,NY
4483,"HOEY, Clyde Roark",Democrat,NC
9552,"UMSTEAD, William Bradley",Democrat,NC
5452,"LANGER, William",Republican,ND
10450,"YOUNG, Milton Ruben",Republican,ND
1024,"BRICKER, John William",Republican,OH
9152,"TAFT, Robert Alphonso",Republican,OH
6629,"MOORE, Edward Hall",Republican,OK
9303,"THOMAS, John William Elmer",Democrat,OK
2066,"CORDON, Guy",Republican,OR
96738,"MORSE, Wayne Lyman",Republican,OR
6021,"MARTIN, Edward",Republican,PA
6836,"MYERS, Francis John",Democrat,PA
3783,"GREEN, Theodore Francis",Democrat,RI
6260,"McGRATH, James Howard",Democrat,RI
5009,"JOHNSTON, Olin DeWitt Talmadge",Democrat,SC
6107,"MAYBANK, Burnet Rhett",Democrat,SC
1330,"BUSHFIELD, Harlan John",Republican,SD
3882,"GURNEY, John Chandler (Chan)",Republican,SD
6293,"MCKELLAR, Kenneth Douglas",Democrat,TN
8929,"STEWART, Arthur Thomas",Democrat,TN
1986,"CONNALLY, Thomas Terry (Tom)",Democrat,TX
7021,"O'DANIEL, Wilbert Lee (Pappy)",Democrat,TX
9291,"THOMAS, Elbert Duncan",Democrat,UT
9865,"WATKINS, Arthur Vivian",Republican,UT
52,"AIKEN, George David",Republican,VT
3206,"FLANDERS, Ralph Edward",Republican,VT
1365,"BYRD, Harry Flood",Democrat,VA
7958,"ROBERTSON, Absalom Willis",Democrat,VA
1395,"CAIN, Harry Pulliam",Republican,WA
5913,"MAGNUSON, Warren Grant",Democrat,WA
5240,"KILGORE, Harley Martin",Democrat,WV
7826,"REVERCOMB, William Chapman",Republican,WV
6137,"McCARTHY, Joseph Raymond",Republican,WI
10110,"WILEY, Alexander",Republican,WI
7070,"O'MAHONEY, Joseph Christopher",Democrat,WY
7960,"ROBERTSON, Edward Vivian",Republican,WY
