icpsr,bioname,party,state_abbrev
99905,"FORD, Gerald Rudolph, Jr.",Republican,USA
8764,"SPARKMAN, John Jackson",Democrat,AL
12100,"ALLEN, James Browning",Democrat,AL
12105,"GRAVEL, Maurice Robert (Mike)",Democrat,AK
12109,"STEVENS, Theodore Fulton (Ted)",Republican,AK
3658,"GOLDWATER, Barry Morris",Republican,AZ
10804,"FANNIN, Paul Jones",Republican,AZ
6151,"McCLELLAN, John Little",Democrat,AR
14300,"BUMPERS, Dale",Democrat,AR
10777,"TUNNEY, John Varick",Democrat,CA
12103,"CRANSTON, Alan",Democrat,CA
14104,"HASKELL, Floyd Kirk",Democrat,CO
14305,"HART, Gary Warren",Democrat,CO
7847,"RIBICOFF, Abraham Alexander",Democrat,CT
12032,"WEICKER, Lowell Palmer, Jr.",Republican,CT
11044,"ROTH, William Victor, Jr.",Republican,DE
14101,"BIDEN, Joseph Robinette (Joe), Jr.",Democrat,DE
13101,"CHILES, Lawton Mainor, Jr.",Democrat,FL
14309,"STONE, Richard Bernard",Democrat,FL
9174,"TALMADGE, Herman Eugene",Democrat,GA
14108,"NUNN, Samuel Augustus",Democrat,GA
3255,"FONG, Hiram Leong",Republican,HI
4812,"INOUYE, Daniel Ken",Democrat,HI
1721,"CHURCH, Frank Forrester",Democrat,ID
11029,"McCLURE, James Albertus",Republican,ID
11205,"PERCY, Charles Harting",Republican,IL
13102,"STEVENSON, Adlai Ewing III",Democrat,IL
4154,"HARTKE, Rupert Vance",Democrat,IN
10800,"BAYH, Birch Evans",Democrat,IN
10715,"CULVER, John Chester",Democrat,IA
14102,"CLARK, Richard Clarence (Dick)",Democrat,IA
10513,"DOLE, Robert Joseph (Bob)",Republican,KS
10817,"PEARSON, James Blackwood",Republican,KS
14106,"HUDDLESTON, Walter Darlington",Democrat,KY
14302,"FORD, Wendell Hampton",Democrat,KY
5767,"LONG, Russell Billiu",Democrat,LA
14107,"JOHNSTON, John Bennett, Jr.",Democrat,LA
6831,"MUSKIE, Edmund Sixtus",Democrat,ME
10736,"HATHAWAY, William Dodd",Democrat,ME
10535,"MATHIAS, Charles McCurdy, Jr.",Republican,MD
12002,"BEALL, John Glenn, Jr.",Republican,MD
10808,"KENNEDY, Edward Moore (Ted)",Democrat,MA
11201,"BROOKE, Edward William, III",Republican,MA
3824,"GRIFFIN, Robert Paul",Republican,MI
4148,"HART, Philip Aloysius",Democrat,MI
4728,"HUMPHREY, Hubert Horatio, Jr.",Democrat,MN
10813,"MONDALE, Walter Frederick",Democrat,MN
2822,"EASTLAND, James Oliver",Democrat,MS
8883,"STENNIS, John Cornelius",Democrat,MS
9141,"SYMINGTON, William Stuart (Stuart)",Democrat,MO
12104,"EAGLETON, Thomas Francis",Democrat,MO
5967,"MANSFIELD, Michael Joseph (Mike)",Democrat,MT
6442,"METCALF, Lee Warren",Democrat,MT
2267,"CURTIS, Carl Thomas",Republican,NE
4660,"HRUSKA, Roman Lee",Republican,NE
1482,"CANNON, Howard Walter",Democrat,NV
14077,"LAXALT, Paul Dominique",Republican,NV
2087,"COTTON, Norris H.",Republican,NH
10810,"McINTYRE, Thomas James",Democrat,NH
14310,"DURKIN, John Anthony",Democrat,NH
1569,"CASE, Clifford Philip",Republican,NJ
10147,"WILLIAMS, Harrison Arlington, Jr.",Democrat,NJ
6611,"MONTOYA, Joseph Manuel",Democrat,NM
14103,"DOMENICI, Pete Vichi",Republican,NM
4898,"JAVITS, Jacob Koppel",Republican,NY
13100,"BUCKLEY, James Lane",Other,NY
14105,"HELMS, Jesse",Republican,NC
14308,"MORGAN, Robert Burren",Democrat,NC
1252,"BURDICK, Quentin Northrup",Democrat,ND
10450,"YOUNG, Milton Ruben",Republican,ND
10630,"TAFT, Robert, Jr.",Republican,OH
14304,"GLENN, John Herschel, Jr.",Democrat,OH
12101,"BELLMON, Henry Louis",Republican,OK
14100,"BARTLETT, Dewey Follett",Republican,OK
11203,"HATFIELD, Mark Odom",Republican,OR
12107,"PACKWOOD, Robert William",Republican,OR
8301,"SCOTT, Hugh Doggett, Jr.",Republican,PA
10557,"SCHWEIKER, Richard Schultz",Republican,PA
7229,"PASTORE, John Orlando",Democrat,RI
10818,"PELL, Claiborne de Borda",Democrat,RI
9369,"THURMOND, James Strom",Republican,SC
11204,"HOLLINGS, Ernest Frederick (Fritz)",Democrat,SC
6256,"MCGOVERN, George Stanley",Democrat,SD
13000,"ABOUREZK, James George",Democrat,SD
10571,"BROCK, William Emerson, III",Republican,TN
11200,"BAKER, Howard Henry, Jr.",Republican,TN
660,"BENTSEN, Lloyd Millard, Jr.",Democrat,TX
10823,"TOWER, John Goodwin",Republican,TX
6754,"MOSS, Frank Edward (Ted)",Democrat,UT
14303,"GARN, Edwin Jacob (Jake)",Republican,UT
10562,"STAFFORD, Robert Theodore",Republican,VT
14307,"LEAHY, Patrick Joseph",Democrat,VT
10802,"BYRD, Harry Flood, Jr.",Other,VA
11048,"SCOTT, William Lloyd",Republican,VA
4851,"JACKSON, Henry Martin (Scoop)",Democrat,WA
5913,"MAGNUSON, Warren Grant",Democrat,WA
1366,"BYRD, Robert Carlyle",Democrat,WV
7722,"RANDOLPH, Jennings",Democrat,WV
7638,"PROXMIRE, William",Democrat,WI
10816,"NELSON, Gaylord Anton",Democrat,WI
6249,"McGEE, Gale William",Democrat,WY
11202,"HANSEN, Clifford Peter",Republican,WY
