icpsr,bioname,party,state_abbrev
99907,"REAGAN, Ronald Wilson",Republican,USA
14659,"SHELBY, Richard C.",Democrat,AL
14705,"HEFLIN, Howell Thomas",Democrat,AL
12109,"STEVENS, Theodore Fulton (Ted)",Republican,AK
14907,"MURKOWSKI, Frank Hughes",Republican,AK
14502,"DeCONCINI, Dennis Webster",Democrat,AZ
15039,"McCAIN, John Sidney, III",Republican,AZ
10791,"PRYOR, David Hampton",Democrat,AR
14300,"BUMPERS, Dale",Democrat,AR
12103,"CRANSTON, Alan",Democrat,CA
14915,"WILSON, Pete",Republican,CA
14002,"ARMSTRONG, William Lester",Republican,CO
14282,"WIRTH, Timothy E.",Democrat,CO
12032,"WEICKER, Lowell Palmer, Jr.",Republican,CT
14213,"DODD, Christopher John",Democrat,CT
11044,"ROTH, William Victor, Jr.",Republican,DE
14101,"BIDEN, Joseph Robinette (Joe), Jr.",Democrat,DE
13101,"CHILES, Lawton Mainor, Jr.",Democrat,FL
15503,"GRAHAM, Daniel Robert (Bob)",Democrat,FL
14108,"NUNN, Samuel Augustus",Democrat,GA
14467,"FOWLER, Wyche, Jr.",Democrat,GA
4812,"INOUYE, Daniel Ken",Democrat,HI
10605,"MATSUNAGA, Spark Masayuki",Democrat,HI
11029,"McCLURE, James Albertus",Republican,ID
14056,"SYMMS, Steven Douglas",Republican,ID
14275,"SIMON, Paul Martin",Democrat,IL
14902,"DIXON, Alan John",Democrat,IL
14447,"QUAYLE, James Danforth (Dan)",Republican,IN
14506,"LUGAR, Richard Green",Republican,IN
14226,"GRASSLEY, Charles Ernest",Republican,IA
14230,"HARKIN, Thomas Richard (Tom)",Democrat,IA
10513,"DOLE, Robert Joseph (Bob)",Republican,KS
14708,"KASSEBAUM, Nancy Landon",Republican,KS
14302,"FORD, Wendell Hampton",Democrat,KY
14921,"MCCONNELL, Addison Mitchell (Mitch)",Republican,KY
13056,"BREAUX, John Berlinger",Democrat,LA
14107,"JOHNSTON, John Bennett, Jr.",Democrat,LA
14010,"COHEN, William Sebastian",Republican,ME
14713,"MITCHELL, George John",Democrat,ME
13039,"SARBANES, Paul Spyros",Democrat,MD
14440,"MIKULSKI, Barbara Ann",Democrat,MD
10808,"KENNEDY, Edward Moore (Ted)",Democrat,MA
14920,"KERRY, John Forbes",Democrat,MA
11043,"RIEGLE, Donald Wayne, Jr.",Democrat,MI
14709,"LEVIN, Carl",Democrat,MI
14701,"BOSCHWITZ, Rudolph Eli (Rudy)",Republican,MN
14703,"DURENBERGER, David Ferdinand",Republican,MN
8883,"STENNIS, John Cornelius",Democrat,MS
14009,"COCHRAN, William Thad",Republican,MS
14501,"DANFORTH, John Claggett",Republican,MO
15501,"BOND, Christopher Samuel (Kit)",Republican,MO
12039,"MELCHER, John",Democrat,MT
14203,"BAUCUS, Max Sieben",Democrat,MT
14512,"ZORINSKY, Edward",Democrat,NE
14704,"EXON, J. James",Democrat,NE
15505,"KARNES, David Kemp",Republican,NE
14913,"HECHT, Jacob Chic",Republican,NV
15054,"REID, Harry",Democrat,NV
14706,"HUMPHREY, Gordon John",Republican,NH
14909,"RUDMAN, Warren Bruce",Republican,NH
14702,"BRADLEY, William Warren (Bill)",Democrat,NJ
14914,"LAUTENBERG, Frank Raleigh",Democrat,NJ
14103,"DOMENICI, Pete Vichi",Republican,NM
14912,"BINGAMAN, Jesse Francis (Jeff), Jr.",Democrat,NM
14508,"MOYNIHAN, Daniel Patrick",Democrat,NY
14900,"D'AMATO, Alfonse Marcello",Republican,NY
14105,"HELMS, Jesse",Republican,NC
15504,"SANFORD, (James) Terry",Democrat,NC
1252,"BURDICK, Quentin Northrup",Democrat,ND
15502,"CONRAD, Kent",Democrat,ND
14073,"METZENBAUM, Howard Morton",Democrat,OH
14304,"GLENN, John Herschel, Jr.",Democrat,OH
14700,"BOREN, David Lyle",Democrat,OK
14908,"NICKLES, Donald Lee",Republican,OK
11203,"HATFIELD, Mark Odom",Republican,OR
12107,"PACKWOOD, Robert William",Republican,OR
13050,"HEINZ, Henry John, III",Republican,PA
14910,"SPECTER, Arlen",Republican,PA
10818,"PELL, Claiborne de Borda",Democrat,RI
14500,"CHAFEE, John Hubbard",Republican,RI
9369,"THURMOND, James Strom",Republican,SC
11204,"HOLLINGS, Ernest Frederick (Fritz)",Democrat,SC
14268,"PRESSLER, Larry Lee",Republican,SD
14617,"DASCHLE, Thomas Andrew",Democrat,SD
14423,"GORE, Albert Arnold, Jr.",Democrat,TN
14509,"SASSER, James Ralph",Democrat,TN
660,"BENTSEN, Lloyd Millard, Jr.",Democrat,TX
14628,"GRAMM, William Philip (Phil)",Republican,TX
14303,"GARN, Edwin Jacob (Jake)",Republican,UT
14503,"HATCH, Orrin Grant",Republican,UT
10562,"STAFFORD, Robert Theodore",Republican,VT
14307,"LEAHY, Patrick Joseph",Democrat,VT
14456,"TRIBLE, Paul Seward, Jr.",Republican,VA
14712,"WARNER, John William",Republican,VA
10700,"ADAMS, Brockman (Brock)",Democrat,WA
14916,"EVANS, Daniel Jackson",Republican,WA
1366,"BYRD, Robert Carlyle",Democrat,WV
14922,"ROCKEFELLER, John Davison (Jay), IV",Democrat,WV
7638,"PROXMIRE, William",Democrat,WI
14242,"KASTEN, Robert Walter, Jr.",Republican,WI
14511,"WALLOP, Malcolm",Republican,WY
14710,"SIMPSON, Alan Kooi",Republican,WY
